2026-06-27 14:59:06.194 | INFO     | app.utils.logger:configure_logging:62 - Structured logging initialized at level: DEBUG
2026-06-27 14:59:06.252 | INFO     | app.api.health:check_health:37 - Executing health check endpoint.
2026-06-27 15:09:59.397 | INFO     | app.utils.logger:configure_logging:62 - Structured logging initialized at level: DEBUG
2026-06-27 15:09:59.438 | INFO     | app.api.health:check_health:37 - Executing health check endpoint.
2026-06-28 08:47:54.320 | INFO     | app.utils.logger:configure_logging:62 - Structured logging initialized at level: DEBUG
2026-06-28 08:47:54.439 | INFO     | app.api.health:check_health:37 - Executing health check endpoint.
2026-06-28 09:16:05.978 | INFO     | app.utils.logger:configure_logging:62 - Structured logging initialized at level: DEBUG
2026-06-28 09:16:06.058 | INFO     | app.api.health:check_health:37 - Executing health check endpoint.
2026-06-28 09:16:06.074 | INFO     | app.repositories.climate_repository:_load_mock_data:65 - Successfully loaded 15 mock climate records from data\mock\climate_data.json
2026-06-28 09:16:06.075 | WARNING  | app.services.climate_service:_validate_location:32 - Validation failed: state=Maharashtra, district=Pune not found.
2026-06-28 09:16:06.076 | ERROR    | app.exceptions.handlers:district_not_found_exception_handler:61 - District Not Found: District 'Pune' in state 'Maharashtra' was not found in the supported dataset catalog. | Path: /api/v1/climate/history
2026-06-28 09:16:06.432 | WARNING  | app.exceptions.handlers:validation_exception_handler:120 - Request Validation Failure: [{'loc': ['query', 'state'], 'msg': 'Field required', 'type': 'missing'}, {'loc': ['query', 'district'], 'msg': 'Field required', 'type': 'missing'}, {'loc': ['query', 'start_date'], 'msg': 'Field required', 'type': 'missing'}, {'loc': ['query', 'end_date'], 'msg': 'Field required', 'type': 'missing'}, {'loc': ['query', 'variables'], 'msg': 'Field required', 'type': 'missing'}] | Path: /api/v1/climate/history
2026-06-28 09:16:06.505 | WARNING  | app.exceptions.handlers:validation_exception_handler:120 - Request Validation Failure: [{'loc': ['query', 'variables', '0'], 'msg': "Input should be 'Temperature', 'Rainfall', 'LST' or 'SST'", 'type': 'enum'}] | Path: /api/v1/climate/history
2026-06-28 09:16:06.515 | WARNING  | app.services.climate_service:_validate_location:32 - Validation failed: state=Maharashtra, district=Pune not found.
2026-06-28 09:16:06.517 | ERROR    | app.exceptions.handlers:district_not_found_exception_handler:61 - District Not Found: District 'Pune' in state 'Maharashtra' was not found in the supported dataset catalog. | Path: /api/v1/climate/current
2026-06-28 09:16:06.537 | WARNING  | app.exceptions.handlers:validation_exception_handler:120 - Request Validation Failure: [{'loc': ['query', 'state'], 'msg': 'String should have at least 2 characters', 'type': 'string_too_short'}, {'loc': ['query', 'variables', '0'], 'msg': "Input should be 'Temperature', 'Rainfall', 'LST' or 'SST'", 'type': 'enum'}] | Path: /api/v1/climate/current
2026-06-28 09:16:06.558 | WARNING  | app.exceptions.handlers:validation_exception_handler:120 - Request Validation Failure: [{'loc': ['query', 'state'], 'msg': 'String should have at least 2 characters', 'type': 'string_too_short'}] | Path: /api/v1/climate/overview
